transponder_id,loop,utcTimestamp,utcTime,lapTime,eventName,trackedRider
CX49214,L02,1741949575.09,2025-03-14 10:52:55.090000,22.6,Vlaamse wielerschool,
CX49214,L02,1741949558.539,2025-03-14 10:52:38.539000,37.921,Vlaamse wielerschool,
SF27513,L06,1741985890.129,2025-03-14 20:58:10.129000,24.466,Vlaamse wielerschool,
SF27513,L06,1741985893.523,2025-03-14 20:58:13.523000,24.57,Vlaamse wielerschool,
SF27513,L06,1741985895.037,2025-03-14 20:58:15.037000,24.631,Vlaamse wielerschool,
SF27513,L06,1741985901.234,2025-03-14 20:58:21.234000,25.186,Vlaamse wielerschool,
SF27513,L06,1741985907.045,2025-03-14 20:58:27.045000,26.742,Vlaamse wielerschool,
SF27513,L06,1741985908.454,2025-03-14 20:58:28.454000,27.192,Vlaamse wielerschool,
SF27513,L06,1741981046.248,2025-03-14 19:37:26.248000,30.149,Vlaamse wielerschool,
GF09766,L07,1741966515.845,2025-03-14 15:35:15.845000,19.668,Vlaamse wielerschool,
GF09766,L07,1741966519.112,2025-03-14 15:35:19.112000,20.8,Vlaamse wielerschool,
GF09766,L07,1741966520.583,2025-03-14 15:35:20.583000,21.067,Vlaamse wielerschool,
